affil_name,status,valid_ids,affil_names_valid,invalid_ids,affil_names_invalid,eid,author,affil_city
"School of Mechanical Electronic and Information Engineering, China University of Mining and Technology",In HAL (Valid),356390,China University of Mining and Technology [CUMT],,,2-s2.0-85059693463,Chong Bu,Beijing
"EDF Foundation, Laboratoire Genie Industriel, CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 1043712, 411575",Université Paris-Saclay | CentraleSupélec | Laboratoire Génie Industriel [LGI],,,2-s2.0-85058108917,Tasneem Bani-Mustafa,
"EDF R&D, PERICLES (Performance et Prévention des Risques Industriels du Parc par la Simulation et les Etudes), EDF Lab Paris Saclay",In HAL (Valid),"528447, 528389",EDF R&D [EDF R&D] | PERformance et prévention des Risques Industriels du parC par la simuLation et les EtudeS [EDF R&D PERICLES],,,2-s2.0-85058108917,Dominique Vasseur,
"Chair on System Science and the Energy Challenge, Fondation Electricite de France (EDF), CentraleSupélec, Université Paris-Saclay",In HAL (Valid),"419361, 411575",Université Paris-Saclay | CentraleSupélec,,,2-s2.0-85017562754,Enrico Zio,Chatenay-Malabry
"EDF Foundation Chair on Systems Science and Energetic Challenge, CentraleSupelec, Universite Paris-Saclay",In HAL (Valid),"419361, 411575",Université Paris-Saclay | CentraleSupélec,,,2-s2.0-85028347754,Zhiguo ZENG,Chatenay-Malabry
"Energy Department, Politecnico di Milano",In HAL (Valid),125443,Politecnico di Milano [Milan] [POLIMI],,,2-s2.0-85028347754,Enrico ZIO,
"Center for Resilience and Safety of Critical Infrastructure, Beihang University",In HAL (Valid),411674,Beihang University [BUAA],,,2-s2.0-85019070199,Mengfei Fan,Beijing
"Department of System Science and the Energy Challenge, Fondation Electricité de France, Université Paris-Saclay",In HAL (Valid),419361,Université Paris-Saclay,,,2-s2.0-85028928243,Enrico Zio,Chatenay-Malabry
"System Science and the Energy Challenge, Fondation Électricité de France (EDF), CentraleSupeléc, Université Paris-Saclay",In HAL (Valid),"419361, 411575",Université Paris-Saclay | CentraleSupélec,,,2-s2.0-85046667164,Enrico Zio,Gif-sur-Yvette
"EDF RandD, PERICles (Performance et Prevention des Risques Industriels du Parc Par la Simulation et les Etudes), EDF, Lab Paris Saclay",In HAL (Valid),"302313, 528389",EDF [EDF] | EDF R&D [EDF R&D],,,2-s2.0-85046618602,Dominique Vasseur,Palaiseau
"Chair on Systems Science and Energetic Challenge, Fondation Electricité de France (EDF), CentraleSupelec, Universite’ Paris-Saclay",In HAL (Valid),"419361, 411575",Université Paris-Saclay | CentraleSupélec,,,2-s2.0-84994226072,Enrico Zio,
"School of Management and Economics, Beijing Institute of Technology",In HAL (Valid),74978,Beijing Institute of Technology [BIT],,,2-s2.0-84997497801,Lirong Cui,Beijing
"System Science and the Energy Challenge, Fondation Electricité de France (EDF), CentraleSupélec, Université Paris Saclay",In HAL (Valid),"419361, 411575",Université Paris-Saclay | CentraleSupélec,,,2-s2.0-85013638280,Enrico Zio,Chatenay-Malabry
"Department System Science and the Energy Challenge, Fondation Electricité de France (EDF), CentraleSupélec, Université Paris Saclay",In HAL (Valid),"419361, 411575",Université Paris-Saclay | CentraleSupélec,,,2-s2.0-85013149404,Enrico Zio,Chatenay-Malabry
"Energy Department, Politecnico di Milano",In HAL (Valid),125443,Politecnico di Milano [Milan] [POLIMI],,,2-s2.0-85013149404,Francesco Di Maio,Milano
"Fondation Electricite de France (EDF), CentraleSupelec, Universite Paris-Saclay",In HAL (Valid),"419361, 411575",Université Paris-Saclay | CentraleSupélec,,,2-s2.0-85061377838,Enrico Zio,Paris
"China Center for Resilience and Safety of Critical Infrastructures, Beihang University",In HAL (Valid),411674,Beihang University [BUAA],,,2-s2.0-85061349671,Mengfei Fan,Beijing
"France Energy Department, Politecnico di Milano",In HAL (Valid),125443,Politecnico di Milano [Milan] [POLIMI],,,2-s2.0-85061349671,Enrico Zio,Milano
"Center for Resilience and Safety of Critical Infrastructures, Beihang University",In HAL (Valid),411674,Beihang University [BUAA],,,2-s2.0-85016216964,S.J. Du,Beijing
"Fondation Electricite de France (EDF), CentraleSuplec, Université Paris-Saclay",Not in HAL,,,,,2-s2.0-85016216964,Z.G. Zeng,Chatenay-Malabry
